,0,avg_costxhour,costxhour,dif_timestamp,members,quantity,resource,role,roleID,role_ID,schedule
81,,10.0,,,['318'],1.0,,Role 82,,Role_82,
82,,12.0,,,['531'],1.0,,Role 83,,Role_83,
83,,19.0,,,['184'],1.0,,Role 84,,Role_84,
84,,16.0,,,['200'],1.0,,Role 85,,Role_85,
85,,1.0,,,['111'],1.0,,Role 86,,Role_86,
86,,12.0,,,['442'],1.0,,Role 87,,Role_87,
87,,1.0,,,['308'],1.0,,Role 88,,Role_88,
88,,7.0,,,['459'],1.0,,Role 89,,Role_89,
89,,17.0,,,['534'],1.0,,Role 90,,Role_90,
90,,6.0,,,['426'],1.0,,Role 91,,Role_91,
91,,12.0,,,['389'],1.0,,Role 92,,Role_92,
92,,17.0,,,['609'],1.0,,Role 93,,Role_93,
93,,13.0,,,['197'],1.0,,Role 94,,Role_94,
94,,20.0,,,['617'],1.0,,Role 95,,Role_95,
95,,20.0,,,['101'],1.0,,Role 96,,Role_96,
96,,5.0,,,['519'],1.0,,Role 97,,Role_97,
97,,5.0,,,['596'],1.0,,Role 98,,Role_98,
98,,6.0,,,['560'],1.0,,Role 99,,Role_99,
99,,7.0,,,['614'],1.0,,Role 100,,Role_100,
100,,1.0,,,['210'],1.0,,Role 101,,Role_101,
101,,11.0,,,['45'],1.0,,Role 102,,Role_102,
102,,3.0,,,['603'],1.0,,Role 103,,Role_103,
103,,8.0,,,['342'],1.0,,Role 104,,Role_104,
104,,8.0,,,['124'],1.0,,Role 105,,Role_105,
105,,8.0,,,['207'],1.0,,Role 106,,Role_106,
106,,1.0,,,['430'],1.0,,Role 107,,Role_107,
107,,16.0,,,['591'],1.0,,Role 108,,Role_108,
108,,0.0,,,['NOT_SET'],1.0,,Role 109,,Role_109,
109,,4.0,,,['571'],1.0,,Role 110,,Role_110,
110,,5.0,,,['320'],1.0,,Role 111,,Role_111,
111,,14.0,,,['144'],1.0,,Role 112,,Role_112,
112,,2.0,,,['70'],1.0,,Role 113,,Role_113,
113,,9.0,,,['387'],1.0,,Role 114,,Role_114,
114,,17.0,,,['78'],1.0,,Role 115,,Role_115,
115,,6.0,,,['225'],1.0,,Role 116,,Role_116,
116,,6.0,,,['190'],1.0,,Role 117,,Role_117,
117,,12.0,,,['363'],1.0,,Role 118,,Role_118,
118,,1.0,,,['424'],1.0,,Role 119,,Role_119,
119,,16.0,,,['470'],1.0,,Role 120,,Role_120,
120,,2.0,,,['196'],1.0,,Role 121,,Role_121,
121,,2.0,,,['461'],1.0,,Role 122,,Role_122,
122,,5.0,,,['26'],1.0,,Role 123,,Role_123,
123,,16.0,,,['425'],1.0,,Role 124,,Role_124,
124,,3.0,,,['243'],1.0,,Role 125,,Role_125,
125,,10.0,,,['64'],1.0,,Role 126,,Role_126,
126,,16.0,,,['372'],1.0,,Role 127,,Role_127,
127,,10.0,,,['541'],1.0,,Role 128,,Role_128,
128,,18.0,,,['139'],1.0,,Role 129,,Role_129,
129,,17.0,,,['147'],1.0,,Role 130,,Role_130,
130,,13.0,,,['370'],1.0,,Role 131,,Role_131,
131,,16.0,,,['244'],1.0,,Role 132,,Role_132,
132,,5.0,,,['272'],1.0,,Role 133,,Role_133,
133,,6.0,,,['171'],1.0,,Role 134,,Role_134,
134,,3.0,,,['249'],1.0,,Role 135,,Role_135,
135,,9.0,,,['515'],1.0,,Role 136,,Role_136,
136,,8.0,,,['39'],1.0,,Role 137,,Role_137,
137,,13.0,,,['550'],1.0,,Role 138,,Role_138,
138,,6.0,,,['245'],1.0,,Role 139,,Role_139,
139,,19.0,,,['304'],1.0,,Role 140,,Role_140,
140,,13.0,,,['455'],1.0,,Role 141,,Role_141,
141,,19.0,,,['347'],1.0,,Role 142,,Role_142,
142,,20.0,,,['472'],1.0,,Role 143,,Role_143,
143,,5.0,,,['423'],1.0,,Role 144,,Role_144,
144,,7.0,,,['176'],1.0,,Role 145,,Role_145,
145,,2.0,,,['552'],1.0,,Role 146,,Role_146,
146,,13.0,,,['572'],1.0,,Role 147,,Role_147,
147,,20.0,,,['337'],1.0,,Role 148,,Role_148,
148,,14.0,,,['285'],1.0,,Role 149,,Role_149,
149,,3.0,,,['334'],1.0,,Role 150,,Role_150,
150,,14.0,,,['166'],1.0,,Role 151,,Role_151,
151,,16.0,,,['203'],1.0,,Role 152,,Role_152,
152,,15.0,,,['63'],1.0,,Role 153,,Role_153,
153,,5.0,,,['496'],1.0,,Role 154,,Role_154,
154,,18.0,,,['392'],1.0,,Role 155,,Role_155,
155,,18.0,,,['195'],1.0,,Role 156,,Role_156,
156,,20.0,,,['223'],1.0,,Role 157,,Role_157,
157,,20.0,,,['85'],1.0,,Role 158,,Role_158,
158,,15.0,,,['274'],1.0,,Role 159,,Role_159,
159,,7.0,,,['3'],1.0,,Role 160,,Role_160,
160,,19.0,,,['50'],1.0,,Role 161,,Role_161,
161,,16.0,,,['182'],1.0,,Role 162,,Role_162,
162,,18.0,,,['526'],1.0,,Role 163,,Role_163,
163,,6.0,,,['32'],1.0,,Role 164,,Role_164,
164,,13.0,,,['221'],1.0,,Role 165,,Role_165,
165,,4.0,,,['588'],1.0,,Role 166,,Role_166,
166,,18.0,,,['315'],1.0,,Role 167,,Role_167,
167,,20.0,,,['503'],1.0,,Role 168,,Role_168,
168,,16.0,,,['247'],1.0,,Role 169,,Role_169,
169,,16.0,,,['123'],1.0,,Role 170,,Role_170,
170,,19.0,,,['94'],1.0,,Role 171,,Role_171,
171,,18.0,,,['333'],1.0,,Role 172,,Role_172,
172,,10.0,,,['441'],1.0,,Role 173,,Role_173,
173,,15.0,,,['358'],1.0,,Role 174,,Role_174,
174,,14.0,,,['302'],1.0,,Role 175,,Role_175,
175,,8.0,,,['127'],1.0,,Role 176,,Role_176,
176,,10.0,,,['216'],1.0,,Role 177,,Role_177,
177,,19.0,,,['199'],1.0,,Role 178,,Role_178,
178,,6.0,,,['604'],1.0,,Role 179,,Role_179,
179,,15.0,,,['592'],1.0,,Role 180,,Role_180,
180,,1.0,,,['172'],1.0,,Role 181,,Role_181,
181,,3.0,,,['290'],1.0,,Role 182,,Role_182,
182,,20.0,,,['89'],1.0,,Role 183,,Role_183,
183,,17.0,,,['412'],1.0,,Role 184,,Role_184,
184,,2.0,,,['419'],1.0,,Role 185,,Role_185,
185,,15.0,,,['193'],1.0,,Role 186,,Role_186,
186,,19.0,,,['377'],1.0,,Role 187,,Role_187,
187,,4.0,,,['598'],1.0,,Role 188,,Role_188,
188,,19.0,,,['445'],1.0,,Role 189,,Role_189,
189,,6.0,,,['427'],1.0,,Role 190,,Role_190,
190,,5.0,,,['240'],1.0,,Role 191,,Role_191,
191,,6.0,,,['479'],1.0,,Role 192,,Role_192,
192,,5.0,,,['296'],1.0,,Role 193,,Role_193,
193,,14.0,,,['420'],1.0,,Role 194,,Role_194,
194,,12.0,,,['413'],1.0,,Role 195,,Role_195,
195,,13.0,,,['530'],1.0,,Role 196,,Role_196,
196,,14.0,,,['473'],1.0,,Role 197,,Role_197,
197,,1.0,,,['30'],1.0,,Role 198,,Role_198,
198,,12.0,,,['120'],1.0,,Role 199,,Role_199,
199,,3.0,,,['306'],1.0,,Role 200,,Role_200,
200,,14.0,,,['48'],1.0,,Role 201,,Role_201,
201,,13.0,,,['607'],1.0,,Role 202,,Role_202,
202,,11.0,,,['365'],1.0,,Role 203,,Role_203,
203,,9.0,,,['4'],1.0,,Role 204,,Role_204,
204,,18.0,,,['452'],1.0,,Role 205,,Role_205,
205,,17.0,,,['468'],1.0,,Role 206,,Role_206,
206,,6.0,,,['431'],1.0,,Role 207,,Role_207,
207,,8.0,,,['440'],1.0,,Role 208,,Role_208,
208,,5.0,,,['368'],1.0,,Role 209,,Role_209,
209,,9.0,,,['574'],1.0,,Role 210,,Role_210,
210,,10.0,,,['608'],1.0,,Role 211,,Role_211,
211,,15.0,,,['416'],1.0,,Role 212,,Role_212,
212,,3.0,,,['98'],1.0,,Role 213,,Role_213,
213,,4.0,,,['58'],1.0,,Role 214,,Role_214,
214,,10.0,,,['135'],1.0,,Role 215,,Role_215,
215,,16.0,,,['522'],1.0,,Role 216,,Role_216,
216,,10.0,,,['137'],1.0,,Role 217,,Role_217,
217,,7.0,,,['143'],1.0,,Role 218,,Role_218,
218,,11.0,,,['454'],1.0,,Role 219,,Role_219,
219,,17.0,,,['273'],1.0,,Role 220,,Role_220,
220,,18.0,,,['186'],1.0,,Role 221,,Role_221,
221,,5.0,,,['583'],1.0,,Role 222,,Role_222,
222,,8.0,,,['246'],1.0,,Role 223,,Role_223,
223,,12.0,,,['448'],1.0,,Role 224,,Role_224,
224,,12.0,,,['341'],1.0,,Role 225,,Role_225,
225,,6.0,,,['364'],1.0,,Role 226,,Role_226,
226,,11.0,,,['214'],1.0,,Role 227,,Role_227,
227,,2.0,,,['18'],1.0,,Role 228,,Role_228,
228,,12.0,,,['396'],1.0,,Role 229,,Role_229,
229,,12.0,,,['179'],1.0,,Role 230,,Role_230,
230,,11.0,,,['573'],1.0,,Role 231,,Role_231,
231,,5.0,,,['346'],1.0,,Role 232,,Role_232,
232,,2.0,,,['16'],1.0,,Role 233,,Role_233,
233,,18.0,,,['438'],1.0,,Role 234,,Role_234,
234,,15.0,,,['532'],1.0,,Role 235,,Role_235,
235,,16.0,,,['429'],1.0,,Role 236,,Role_236,
236,,2.0,,,['510'],1.0,,Role 237,,Role_237,
237,,1.0,,,['268'],1.0,,Role 238,,Role_238,
238,,16.0,,,['612'],1.0,,Role 239,,Role_239,
239,,4.0,,,['569'],1.0,,Role 240,,Role_240,
240,,8.0,,,['435'],1.0,,Role 241,,Role_241,
241,,15.0,,,['533'],1.0,,Role 242,,Role_242,
242,,1.0,,,['185'],1.0,,Role 243,,Role_243,
243,,4.0,,,['270'],1.0,,Role 244,,Role_244,
244,,16.0,,,['40'],1.0,,Role 245,,Role_245,
245,,2.0,,,['311'],1.0,,Role 246,,Role_246,
246,,1.0,,,['52'],1.0,,Role 247,,Role_247,
247,,6.0,,,['600'],1.0,,Role 248,,Role_248,
248,,11.0,,,['517'],1.0,,Role 249,,Role_249,
249,,14.0,,,['116'],1.0,,Role 250,,Role_250,
250,,8.0,,,['411'],1.0,,Role 251,,Role_251,
251,,16.0,,,['228'],1.0,,Role 252,,Role_252,
252,,17.0,,,['134'],1.0,,Role 253,,Role_253,
253,,9.0,,,['163'],1.0,,Role 254,,Role_254,
254,,17.0,,,['6'],1.0,,Role 255,,Role_255,
255,,4.0,,,['434'],1.0,,Role 256,,Role_256,
256,,17.0,,,['233'],1.0,,Role 257,,Role_257,
257,,2.0,,,['258'],1.0,,Role 258,,Role_258,
258,,4.0,,,['498'],1.0,,Role 259,,Role_259,
259,,9.0,,,['549'],1.0,,Role 260,,Role_260,
260,,15.0,,,['361'],1.0,,Role 261,,Role_261,
261,,20.0,,,['332'],1.0,,Role 262,,Role_262,
262,,8.0,,,['390'],1.0,,Role 263,,Role_263,
263,,13.0,,,['177'],1.0,,Role 264,,Role_264,
264,,6.0,,,['575'],1.0,,Role 265,,Role_265,
265,,19.0,,,['148'],1.0,,Role 266,,Role_266,
266,,2.0,,,['512'],1.0,,Role 267,,Role_267,
267,,12.0,,,['161'],1.0,,Role 268,,Role_268,
268,,19.0,,,['301'],1.0,,Role 269,,Role_269,
269,,19.0,,,['69'],1.0,,Role 270,,Role_270,
270,,18.0,,,['113'],1.0,,Role 271,,Role_271,
271,,16.0,,,['351'],1.0,,Role 272,,Role_272,
272,,4.0,,,['539'],1.0,,Role 273,,Role_273,
273,,15.0,,,['509'],1.0,,Role 274,,Role_274,
274,,1.0,,,['79'],1.0,,Role 275,,Role_275,
275,,16.0,,,['478'],1.0,,Role 276,,Role_276,
276,,18.0,,,['381'],1.0,,Role 277,,Role_277,
277,,8.0,,,['211'],1.0,,Role 278,,Role_278,
278,,4.0,,,['562'],1.0,,Role 279,,Role_279,
279,,7.0,,,['589'],1.0,,Role 280,,Role_280,
280,,7.0,,,['198'],1.0,,Role 281,,Role_281,
281,,10.0,,,['25'],1.0,,Role 282,,Role_282,
282,,8.0,,,['576'],1.0,,Role 283,,Role_283,
283,,4.0,,,['298'],1.0,,Role 284,,Role_284,
284,,9.0,,,['421'],1.0,,Role 285,,Role_285,
285,,14.0,,,['544'],1.0,,Role 286,,Role_286,
286,,14.0,,,['264'],1.0,,Role 287,,Role_287,
287,,13.0,,,['542'],1.0,,Role 288,,Role_288,
288,,9.0,,,['353'],1.0,,Role 289,,Role_289,
289,,5.0,,,['366'],1.0,,Role 290,,Role_290,
290,,9.0,,,['253'],1.0,,Role 291,,Role_291,
291,,6.0,,,['367'],1.0,,Role 292,,Role_292,
292,,20.0,,,['352'],1.0,,Role 293,,Role_293,
293,,6.0,,,['587'],1.0,,Role 294,,Role_294,
294,,9.0,,,['156'],1.0,,Role 295,,Role_295,
295,,3.0,,,['325'],1.0,,Role 296,,Role_296,
296,,3.0,,,['422'],1.0,,Role 297,,Role_297,
297,,14.0,,,['41'],1.0,,Role 298,,Role_298,
298,,9.0,,,['504'],1.0,,Role 299,,Role_299,
299,,17.0,,,['355'],1.0,,Role 300,,Role_300,
300,,19.0,,,['5'],1.0,,Role 301,,Role_301,
301,,5.0,,,['73'],1.0,,Role 302,,Role_302,
302,,14.0,,,['133'],1.0,,Role 303,,Role_303,
303,,17.0,,,['276'],1.0,,Role 304,,Role_304,
304,,20.0,,,['46'],1.0,,Role 305,,Role_305,
305,,18.0,,,['328'],1.0,,Role 306,,Role_306,
306,,10.0,,,['506'],1.0,,Role 307,,Role_307,
307,,14.0,,,['330'],1.0,,Role 308,,Role_308,
308,,5.0,,,['12'],1.0,,Role 309,,Role_309,
309,,20.0,,,['289'],1.0,,Role 310,,Role_310,
310,,16.0,,,['343'],1.0,,Role 311,,Role_311,
311,,7.0,,,['391'],1.0,,Role 312,,Role_312,
312,,14.0,,,['407'],1.0,,Role 313,,Role_313,
313,,12.0,,,['152'],1.0,,Role 314,,Role_314,
314,,5.0,,,['303'],1.0,,Role 315,,Role_315,
315,,15.0,,,['82'],1.0,,Role 316,,Role_316,
316,,6.0,,,['235'],1.0,,Role 317,,Role_317,
317,,2.0,,,['345'],1.0,,Role 318,,Role_318,
318,,2.0,,,['251'],1.0,,Role 319,,Role_319,
319,,1.0,,,['384'],1.0,,Role 320,,Role_320,
320,,15.0,,,['126'],1.0,,Role 321,,Role_321,
321,,9.0,,,['72'],1.0,,Role 322,,Role_322,
322,,19.0,,,['136'],1.0,,Role 323,,Role_323,
323,,10.0,,,['513'],1.0,,Role 324,,Role_324,
324,,10.0,,,['271'],1.0,,Role 325,,Role_325,
325,,19.0,,,['15'],1.0,,Role 326,,Role_326,
326,,18.0,,,['611'],1.0,,Role 327,,Role_327,
327,,5.0,,,['410'],1.0,,Role 328,,Role_328,
328,,7.0,,,['71'],1.0,,Role 329,,Role_329,
329,,3.0,,,['499'],1.0,,Role 330,,Role_330,
330,,1.0,,,['188'],1.0,,Role 331,,Role_331,
331,,4.0,,,['557'],1.0,,Role 332,,Role_332,
332,,16.0,,,['209'],1.0,,Role 333,,Role_333,
333,,15.0,,,['236'],1.0,,Role 334,,Role_334,
334,,1.0,,,['99'],1.0,,Role 335,,Role_335,
335,,1.0,,,['564'],1.0,,Role 336,,Role_336,
336,,5.0,,,['476'],1.0,,Role 337,,Role_337,
337,,12.0,,,['615'],1.0,,Role 338,,Role_338,
338,,1.0,,,['93'],1.0,,Role 339,,Role_339,
339,,12.0,,,['415'],1.0,,Role 340,,Role_340,
340,,19.0,,,['397'],1.0,,Role 341,,Role_341,
341,,5.0,,,['613'],1.0,,Role 342,,Role_342,
342,,10.0,,,['164'],1.0,,Role 343,,Role_343,
343,,14.0,,,['256'],1.0,,Role 344,,Role_344,
344,,17.0,,,['21'],1.0,,Role 345,,Role_345,
345,,18.0,,,['376'],1.0,,Role 346,,Role_346,
346,,11.0,,,['76'],1.0,,Role 347,,Role_347,
347,,6.0,,,['192'],1.0,,Role 348,,Role_348,
348,,4.0,,,['241'],1.0,,Role 349,,Role_349,
349,,19.0,,,['497'],1.0,,Role 350,,Role_350,
350,,2.0,,,['456'],1.0,,Role 351,,Role_351,
351,,16.0,,,['326'],1.0,,Role 352,,Role_352,
352,,9.0,,,['202'],1.0,,Role 353,,Role_353,
353,,10.0,,,['374'],1.0,,Role 354,,Role_354,
354,,18.0,,,['154'],1.0,,Role 355,,Role_355,
355,,16.0,,,['29'],1.0,,Role 356,,Role_356,
356,,17.0,,,['263'],1.0,,Role 357,,Role_357,
357,,20.0,,,['408'],1.0,,Role 358,,Role_358,
358,,7.0,,,['319'],1.0,,Role 359,,Role_359,
359,,14.0,,,['77'],1.0,,Role 360,,Role_360,
360,,18.0,,,['545'],1.0,,Role 361,,Role_361,
361,,1.0,,,['255'],1.0,,Role 362,,Role_362,
362,,3.0,,,['84'],1.0,,Role 363,,Role_363,
363,,1.0,,,['288'],1.0,,Role 364,,Role_364,
364,,13.0,,,['293'],1.0,,Role 365,,Role_365,
365,,7.0,,,['418'],1.0,,Role 366,,Role_366,
366,,11.0,,,['586'],1.0,,Role 367,,Role_367,
367,,10.0,,,['87'],1.0,,Role 368,,Role_368,
368,,18.0,,,['344'],1.0,,Role 369,,Role_369,
369,,13.0,,,['204'],1.0,,Role 370,,Role_370,
370,,8.0,,,['107'],1.0,,Role 371,,Role_371,
371,,17.0,,,['159'],1.0,,Role 372,,Role_372,
372,,20.0,,,['91'],1.0,,Role 373,,Role_373,
373,,10.0,,,['34'],1.0,,Role 374,,Role_374,
374,,5.0,,,['282'],1.0,,Role 375,,Role_375,
375,,18.0,,,['20'],1.0,,Role 376,,Role_376,
376,,12.0,,,['520'],1.0,,Role 377,,Role_377,
377,,8.0,,,['49'],1.0,,Role 378,,Role_378,
378,,13.0,,,['475'],1.0,,Role 379,,Role_379,
379,,9.0,,,['229'],1.0,,Role 380,,Role_380,
380,,18.0,,,['265'],1.0,,Role 381,,Role_381,
381,,2.0,,,['59'],1.0,,Role 382,,Role_382,
382,,2.0,,,['191'],1.0,,Role 383,,Role_383,
383,,7.0,,,['581'],1.0,,Role 384,,Role_384,
384,,17.0,,,['173'],1.0,,Role 385,,Role_385,
385,,7.0,,,['57'],1.0,,Role 386,,Role_386,
386,,20.0,,,['61'],1.0,,Role 387,,Role_387,
387,,18.0,,,['213'],1.0,,Role 388,,Role_388,
388,,6.0,,,['206'],1.0,,Role 389,,Role_389,
389,,1.0,,,['359'],1.0,,Role 390,,Role_390,
390,,12.0,,,['458'],1.0,,Role 391,,Role_391,
391,,2.0,,,['595'],1.0,,Role 392,,Role_392,
392,,20.0,,,['481'],1.0,,Role 393,,Role_393,
393,,20.0,,,['324'],1.0,,Role 394,,Role_394,
394,,4.0,,,['565'],1.0,,Role 395,,Role_395,
395,,11.0,,,['299'],1.0,,Role 396,,Role_396,
396,,7.0,,,['380'],1.0,,Role 397,,Role_397,
397,,15.0,,,['317'],1.0,,Role 398,,Role_398,
398,,17.0,,,['183'],1.0,,Role 399,,Role_399,
399,,13.0,,,['275'],1.0,,Role 400,,Role_400,
400,,6.0,,,['92'],1.0,,Role 401,,Role_401,
401,,7.0,,,['467'],1.0,,Role 402,,Role_402,
402,,7.0,,,['102'],1.0,,Role 403,,Role_403,
403,,8.0,,,['559'],1.0,,Role 404,,Role_404,
404,,19.0,,,['305'],1.0,,Role 405,,Role_405,
405,,13.0,,,['109'],1.0,,Role 406,,Role_406,
406,,1.0,,,['257'],1.0,,Role 407,,Role_407,
407,,4.0,,,['568'],1.0,,Role 408,,Role_408,
408,,17.0,,,['551'],1.0,,Role 409,,Role_409,
409,,3.0,,,['464'],1.0,,Role 410,,Role_410,
410,,15.0,,,['97'],1.0,,Role 411,,Role_411,
411,,3.0,,,['548'],1.0,,Role 412,,Role_412,
412,,20.0,,,['563'],1.0,,Role 413,,Role_413,
413,,8.0,,,['401'],1.0,,Role 414,,Role_414,
414,,7.0,,,['54'],1.0,,Role 415,,Role_415,
415,,20.0,,,['500'],1.0,,Role 416,,Role_416,
416,,15.0,,,['577'],1.0,,Role 417,,Role_417,
417,,20.0,,,['262'],1.0,,Role 418,,Role_418,
418,,9.0,,,['432'],1.0,,Role 419,,Role_419,
419,,16.0,,,['167'],1.0,,Role 420,,Role_420,
420,,5.0,,,['292'],1.0,,Role 421,,Role_421,
421,,1.0,,,['189'],1.0,,Role 422,,Role_422,
422,,15.0,,,['516'],1.0,,Role 423,,Role_423,
423,,19.0,,,['180'],1.0,,Role 424,,Role_424,
424,,2.0,,,['487'],1.0,,Role 425,,Role_425,
425,,11.0,,,['579'],1.0,,Role 426,,Role_426,
426,,4.0,,,['484'],1.0,,Role 427,,Role_427,
427,,6.0,,,['117'],1.0,,Role 428,,Role_428,
428,,18.0,,,['578'],1.0,,Role 429,,Role_429,
429,,13.0,,,['379'],1.0,,Role 430,,Role_430,
430,,15.0,,,['594'],1.0,,Role 431,,Role_431,
431,,14.0,,,['433'],1.0,,Role 432,,Role_432,
432,,13.0,,,['138'],1.0,,Role 433,,Role_433,
433,,15.0,,,['187'],1.0,,Role 434,,Role_434,
434,,20.0,,,['224'],1.0,,Role 435,,Role_435,
435,,15.0,,,['527'],1.0,,Role 436,,Role_436,
436,,14.0,,,['584'],1.0,,Role 437,,Role_437,
437,,7.0,,,['226'],1.0,,Role 438,,Role_438,
438,,10.0,,,['528'],1.0,,Role 439,,Role_439,
439,,6.0,,,['524'],1.0,,Role 440,,Role_440,
440,,12.0,,,['385'],1.0,,Role 441,,Role_441,
441,,11.0,,,['128'],1.0,,Role 442,,Role_442,
442,,18.0,,,['451'],1.0,,Role 443,,Role_443,
443,,8.0,,,['457'],1.0,,Role 444,,Role_444,
444,,13.0,,,['259'],1.0,,Role 445,,Role_445,
445,,20.0,,,['606'],1.0,,Role 446,,Role_446,
446,,9.0,,,['178'],1.0,,Role 447,,Role_447,
447,,9.0,,,['386'],1.0,,Role 448,,Role_448,
448,,12.0,,,['151'],1.0,,Role 449,,Role_449,
449,,14.0,,,['502'],1.0,,Role 450,,Role_450,
450,,8.0,,,['169'],1.0,,Role 451,,Role_451,
451,,11.0,,,['194'],1.0,,Role 452,,Role_452,
452,,3.0,,,['80'],1.0,,Role 453,,Role_453,
453,,9.0,,,['322'],1.0,,Role 454,,Role_454,
454,,9.0,,,['114'],1.0,,Role 455,,Role_455,
455,,3.0,,,['110'],1.0,,Role 456,,Role_456,
456,,12.0,,,['465'],1.0,,Role 457,,Role_457,
457,,8.0,,,['462'],1.0,,Role 458,,Role_458,
458,,16.0,,,['460'],1.0,,Role 459,,Role_459,
459,,17.0,,,['580'],1.0,,Role 460,,Role_460,
460,,10.0,,,['254'],1.0,,Role 461,,Role_461,
461,,13.0,,,['267'],1.0,,Role 462,,Role_462,
